Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","1973","1973","t","214700","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","1974","1974","t","236000","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","1975","1975","t","247700","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","1976","1976","t","293700","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","1977","1977","t","314400","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","1978","1978","t","315000","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","1979","1979","t","469400","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","1980","1980","t","500400","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","1981","1981","t","399400","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","1982","1982","t","818000","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","1983","1983","t","838000","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","1984","1984","t","752000","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","1985","1985","t","736000","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","1986","1986","t","805000","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","1987","1987","t","1016000","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","1988","1988","t","670000","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","1989","1989","t","748000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","1990","1990","t","720000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","1991","1991","t","740000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","1992","1992","t","770000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","1993","1993","t","785000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","1994","1994","t","795000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","1995","1995","t","800000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","1996","1996","t","815000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","1997","1997","t","785000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","1998","1998","t","810000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","1999","1999","t","1010000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","2000","2000","t","919500","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","2001","2001","t","956000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","2002","2002","t","1171000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","2003","2003","t","1170000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","2004","2004","t","1199000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","2005","2005","t","1180000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","2006","2006","t","1150000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","2007","2007","t","1380000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","2008","2008","t","1540000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","2009","2009","t","1600000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","2010","2010","t","1760000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","2011","2011","t","1959600","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","2012","2012","t","2400000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","2013","2013","t","2650000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","2014","2014","t","2700000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","2015","2015","t","2700000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","2016","2016","t","2600000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","2017","2017","t","1750000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","2018","2018","t","1800000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","2019","2019","t","1800000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","2020","2020","t","1880000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","2021","2021","t","1799800","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","2022","2022","t","1818400","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","1961","1961","kg/ha","7500","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","1961","1961","t","150000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","1962","1962","kg/ha","7500","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","1962","1962","t","150000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","1963","1963","kg/ha","7500","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","1963","1963","t","150000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","1964","1964","kg/ha","7500","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","1964","1964","t","150000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","1965","1965","kg/ha","7500","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","1965","1965","t","150000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","1966","1966","kg/ha","7500","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","1966","1966","t","150000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","1967","1967","kg/ha","7500","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","1967","1967","t","150000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","1968","1968","kg/ha","7500","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","1968","1968","t","150000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","1969","1969","kg/ha","7500","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","1969","1969","t","150000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","1970","1970","kg/ha","7500","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","1970","1970","t","150000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","1971","1971","kg/ha","7500","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","1971","1971","t","150000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","1972","1972","kg/ha","7500","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","1972","1972","t","150000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","1973","1973","kg/ha","7500","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","1973","1973","t","150000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","1974","1974","kg/ha","7500","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","1974","1974","t","150000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","1975","1975","kg/ha","7500","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","1975","1975","t","150000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","1976","1976","kg/ha","7500","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","1976","1976","t","150000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","1977","1977","kg/ha","7500","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","1977","1977","t","150000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","1978","1978","kg/ha","7500","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","1978","1978","t","150000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","1979","1979","kg/ha","7500","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","1979","1979","t","150000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","1980","1980","kg/ha","7500","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","1980","1980","t","150000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","1981","1981","kg/ha","7500","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","1981","1981","t","150000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","1982","1982","kg/ha","7500","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","1982","1982","t","150000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","1983","1983","kg/ha","7500","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","1983","1983","t","150000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","1984","1984","kg/ha","7500","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","1984","1984","t","150000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","1985","1985","kg/ha","7500","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","1985","1985","t","150000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","1986","1986","kg/ha","7500","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","1986","1986","t","150000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","1987","1987","kg/ha","7500","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","1987","1987","t","150000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","1988","1988","kg/ha","7500","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","1988","1988","t","150000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","1989","1989","kg/ha","7904.8","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","1989","1989","t","166000","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","1990","1990","kg/ha","7863.6","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","1990","1990","t","173000","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","1991","1991","kg/ha","7846.4","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","1991","1991","t","175000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","1992","1992","kg/ha","7851.1","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","1992","1992","t","166662.16","I","Imputed value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","1993","1993","kg/ha","7722.2","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","1993","1993","t","139000","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","1994","1994","kg/ha","8041.7","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","1994","1994","t","193000","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","1995","1995","kg/ha","8153.1","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","1995","1995","t","198000","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","1996","1996","kg/ha","8268.5","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","1996","1996","t","203000","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","1997","1997","kg/ha","8400","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","1997","1997","t","210000","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","1998","1998","kg/ha","8653.8","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","1998","1998","t","225000","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","1999","1999","kg/ha","8555.6","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","1999","1999","t","231000","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","2000","2000","kg/ha","8509.7","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","2000","2000","t","225439.77","I","Imputed value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","2001","2001","kg/ha","8520.4","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","2001","2001","t","227745.37","I","Imputed value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","2002","2002","kg/ha","8545.5","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","2002","2002","t","235000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","2003","2003","kg/ha","8546.7","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","2003","2003","t","232121.33","I","Imputed value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","2004","2004","kg/ha","8559.6","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","2004","2004","t","234007.93","I","Imputed value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","2005","2005","kg/ha","8558.6","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","2005","2005","t","237500","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","2006","2006","kg/ha","8571.4","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","2006","2006","t","240000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","2007","2007","kg/ha","8526.3","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","2007","2007","t","243000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","2008","2008","kg/ha","8623.4","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","2008","2008","t","240000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","2009","2009","kg/ha","8701.5","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","2009","2009","t","231642.14","I","Imputed value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","2010","2010","kg/ha","8692.1","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","2010","2010","t","219910.87","I","Imputed value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","2011","2011","kg/ha","8713.9","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","2011","2011","t","217847.71","I","Imputed value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","2012","2012","kg/ha","8735.7","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","2012","2012","t","227127.87","I","Imputed value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","2013","2013","kg/ha","8757.5","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","2013","2013","t","227694.13","I","Imputed value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","2014","2014","kg/ha","8771.3","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","2014","2014","t","232574.44","I","Imputed value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","2015","2015","kg/ha","8781.2","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","2015","2015","t","233849.9","I","Imputed value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","2016","2016","kg/ha","8796.2","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","2016","2016","t","235888.37","I","Imputed value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","2017","2017","kg/ha","8808.3","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","2017","2017","t","236145.17","I","Imputed value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","2018","2018","kg/ha","8827.5","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","2018","2018","t","237480.83","I","Imputed value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","2019","2019","kg/ha","8851.7","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","2019","2019","t","237317.93","I","Imputed value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","2020","2020","kg/ha","8891.9","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","2020","2020","t","237275.4","I","Imputed value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","2021","2021","kg/ha","8903.3","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","2021","2021","t","236025.52","I","Imputed value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","2022","2022","kg/ha","8921.5","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","2022","2022","t","236463.19","I","Imputed value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","2023","2023","kg/ha","8939.7","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","2023","2023","t","236900.85","I","Imputed value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01372","Cashew nuts, in shell","1961","1961","kg/ha","466.7","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01372","Cashew nuts, in shell","1961","1961","t","7000","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01372","Cashew nuts, in shell","1962","1962","kg/ha","583.3","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01372","Cashew nuts, in shell","1962","1962","t","14000","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01372","Cashew nuts, in shell","1963","1963","kg/ha","600","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01372","Cashew nuts, in shell","1963","1963","t","15000","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01372","Cashew nuts, in shell","1964","1964","kg/ha","612.9","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01372","Cashew nuts, in shell","1964","1964","t","19000","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01372","Cashew nuts, in shell","1965","1965","kg/ha","619.7","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01372","Cashew nuts, in shell","1965","1965","t","22000","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01372","Cashew nuts, in shell","1966","1966","kg/ha","621.6","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01372","Cashew nuts, in shell","1966","1966","t","23000","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01372","Cashew nuts, in shell","1967","1967","kg/ha","623.4","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01372","Cashew nuts, in shell","1967","1967","t","24000","A","Official figure",""
